1) t = 0.010000   x = 0.035369   y = 5.034851 
  2) t = 0.020000   x = 0.070739   y = 5.068723 
  3) t = 0.030000   x = 0.106108   y = 5.101614 
  4) t = 0.040000   x = 0.141478   y = 5.133525 
  5) t = 0.050000   x = 0.176847   y = 5.164456 
  6) t = 0.060000   x = 0.212216   y = 5.194408 
  7) t = 0.070000   x = 0.247586   y = 5.223379 
  8) t = 0.080000   x = 0.282955   y = 5.251370 
  9) t = 0.090000   x = 0.318325   y = 5.278381 
  10) t = 0.100000   x = 0.353694   y = 5.304413 
  11) t = 0.110000   x = 0.389064   y = 5.329464 
  12) t = 0.120000   x = 0.424433   y = 5.353535 
  13) t = 0.130000   x = 0.459802   y = 5.376626 
  14) t = 0.140000   x = 0.495172   y = 5.398738 
  15) t = 0.150000   x = 0.530541   y = 5.419869 
  16) t = 0.160000   x = 0.565911   y = 5.440020 
  17) t = 0.170000   x = 0.601280   y = 5.459191 
  18) t = 0.180000   x = 0.636649   y = 5.477383 
  19) t = 0.190000   x = 0.672019   y = 5.494594 
  20) t = 0.200000   x = 0.707388   y = 5.510825 
  21) t = 0.210000   x = 0.742758   y = 5.526076 
  22) t = 0.220000   x = 0.778127   y = 5.540348 
  23) t = 0.230000   x = 0.813497   y = 5.553639 
  24) t = 0.240000   x = 0.848866   y = 5.565950 
  25) t = 0.250000   x = 0.884235   y = 5.577281 
  26) t = 0.260000   x = 0.919605   y = 5.587633 
  27) t = 0.270000   x = 0.954974   y = 5.597004 
  28) t = 0.280000   x = 0.990344   y = 5.605395 
  29) t = 0.290000   x = 1.025713   y = 5.612807 
  30) t = 0.300000   x = 1.061082   y = 5.619238 
  31) t = 0.310000   x = 1.096452   y = 5.624689 
  32) t = 0.320000   x = 1.131821   y = 5.629160 
  33) t = 0.330000   x = 1.167191   y = 5.632652 
  34) t = 0.340000   x = 1.202560   y = 5.635163 
  35) t = 0.350000   x = 1.237929   y = 5.636694 
  36) t = 0.360000   x = 1.273299   y = 5.637245 
