0) t = 0.000000  x = 100.000000  y = 21.500000  z = 5.000000
1) t = 1.000000  x = 148.086360  y = 157.965036   z = 138.054983
2) t = 2.000000  x = 196.172720  y = 284.630072   z = 271.109966
3) t = 3.000000  x = 244.259080  y = 401.495109   z = 404.164949
4) t = 4.000000  x = 292.345440  y = 508.560145   z = 537.219932
5) t = 5.000000  x = 340.431801  y = 605.825181   z = 670.274915
6) t = 6.000000  x = 388.518161  y = 693.290217   z = 803.329898
7) t = 7.000000  x = 436.604521  y = 770.955254   z = 936.384881
8) t = 8.000000  x = 484.690881  y = 838.820290   z = 1069.439864
9) t = 9.000000  x = 532.777241  y = 896.885326   z = 1202.494847
10) t = 10.000000  x = 580.863601  y = 945.150362   z = 1335.549830
11) t = 11.000000  x = 628.949961  y = 983.615398   z = 1468.604813
12) t = 12.000000  x = 677.036321  y = 1012.280435   z = 1601.659796
13) t = 13.000000  x = 725.122682  y = 1031.145471   z = 1734.714779
14) t = 14.000000  x = 773.209042  y = 1040.210507   z = 1867.769762
15) t = 15.000000  x = 821.295402  y = 1039.475543   z = 2000.824745
16) t = 16.000000  x = 869.381762  y = 1028.940580   z = 2133.879728
17) t = 17.000000  x = 917.468122  y = 1008.605616   z = 2266.934711
18) t = 18.000000  x = 965.554482  y = 978.470652   z = 2399.989694
19) t = 19.000000  x = 1013.640842  y = 938.535688   z = 2533.044677
20) t = 20.000000  x = 1061.727202  y = 888.800724   z = 2666.099660
21) t = 21.000000  x = 1109.813562  y = 829.265761   z = 2799.154643
22) t = 22.000000  x = 1157.899923  y = 759.930797   z = 2932.209626
23) t = 23.000000  x = 1205.986283  y = 680.795833   z = 3065.264609
24) t = 24.000000  x = 1254.072643  y = 591.860869   z = 3198.319592
25) t = 25.000000  x = 1302.159003  y = 493.125906   z = 3331.374575
26) t = 26.000000  x = 1350.245363  y = 384.590942   z = 3464.429558
27) t = 27.000000  x = 1398.331723  y = 266.255978   z = 3597.484541
28) t = 28.000000  x = 1446.418083  y = 138.121014   z = 3730.539524
29) t = 29.000000  x = 1494.504443  y = 0.186050   z = 3863.594507
