0) t = 0.000000  x = 0.000000  y = 0.000000  z = 0.000000  x1 = 3000.000000  y1 = 0.000000  z1 = 0.000000
1) t = 1.000000  x = 100.000000  y = 136.421356  z = 100.000000  x1 = 2900.000000  y1 = 136.421356  z1 = 100.000000
2) t = 2.000000  x = 200.000000  y = 262.842712  z = 200.000000  x1 = 2800.000000  y1 = 262.842712  z1 = 200.000000
3) t = 3.000000  x = 300.000000  y = 379.264069  z = 300.000000  x1 = 2700.000000  y1 = 379.264069  z1 = 300.000000
4) t = 4.000000  x = 400.000000  y = 485.685425  z = 400.000000  x1 = 2600.000000  y1 = 485.685425  z1 = 400.000000
5) t = 5.000000  x = 500.000000  y = 582.106781  z = 500.000000  x1 = 2500.000000  y1 = 582.106781  z1 = 500.000000
6) t = 6.000000  x = 600.000000  y = 668.528137  z = 600.000000  x1 = 2400.000000  y1 = 668.528137  z1 = 600.000000
7) t = 7.000000  x = 700.000000  y = 744.949494  z = 700.000000  x1 = 2300.000000  y1 = 744.949494  z1 = 700.000000
8) t = 8.000000  x = 800.000000  y = 811.370850  z = 800.000000  x1 = 2200.000000  y1 = 811.370850  z1 = 800.000000
9) t = 9.000000  x = 900.000000  y = 867.792206  z = 900.000000  x1 = 2100.000000  y1 = 867.792206  z1 = 900.000000
10) t = 10.000000  x = 1000.000000  y = 914.213562  z = 1000.000000  x1 = 2000.000000  y1 = 914.213562  z1 = 1000.000000
11) t = 11.000000  x = 1100.000000  y = 950.634919  z = 1100.000000  x1 = 1900.000000  y1 = 950.634919  z1 = 1100.000000
12) t = 12.000000  x = 1200.000000  y = 977.056275  z = 1200.000000  x1 = 1800.000000  y1 = 977.056275  z1 = 1200.000000
13) t = 13.000000  x = 1300.000000  y = 993.477631  z = 1300.000000  x1 = 1700.000000  y1 = 993.477631  z1 = 1300.000000
14) t = 14.000000  x = 1400.000000  y = 999.898987  z = 1400.000000  x1 = 1600.000000  y1 = 999.898987  z1 = 1400.000000
15) t = 15.000000  x = 1500.000000  y = 996.320344  z = 1500.000000  x1 = 1500.000000  y1 = 996.320344  z1 = 1500.000000
