0) t = 0.000000  x = 0.000000  y = 20.000000  z = 30.000000  x1 = 3200.000000  y1 = 15.000000  z1 = 42.000000
1) t = 1.000000  x = 70.710678  y = 156.516356  z = 152.474487  x1 = 3232.262109  y1 = 193.620907  z1 = 79.113310
2) t = 2.000000  x = 141.421356  y = 283.222712  z = 274.948974  x1 = 3264.524217  y1 = 362.431814  z1 = 116.226621
3) t = 3.000000  x = 212.132034  y = 400.119069  z = 397.423461  x1 = 3296.786326  y1 = 521.432721  z1 = 153.339931
4) t = 4.000000  x = 282.842712  y = 507.205425  z = 519.897949  x1 = 3329.048434  y1 = 670.623628  z1 = 190.453242
5) t = 5.000000  x = 353.553391  y = 604.481781  z = 642.372436  x1 = 3361.310543  y1 = 810.004535  z1 = 227.566552
6) t = 6.000000  x = 424.264069  y = 691.948137  z = 764.846923  x1 = 3393.572651  y1 = 939.575442  z1 = 264.679863
7) t = 7.000000  x = 494.974747  y = 769.604494  z = 887.321410  x1 = 3425.834760  y1 = 1059.336349  z1 = 301.793173
8) t = 8.000000  x = 565.685425  y = 837.450850  z = 1009.795897  x1 = 3458.096869  y1 = 1169.287256  z1 = 338.906484
9) t = 9.000000  x = 636.396103  y = 895.487206  z = 1132.270384  x1 = 3490.358977  y1 = 1269.428163  z1 = 376.019794
10) t = 10.000000  x = 707.106781  y = 943.713562  z = 1254.744871  x1 = 3522.621086  y1 = 1359.759070  z1 = 413.133104
11) t = 11.000000  x = 777.817459  y = 982.129919  z = 1377.219359  x1 = 3554.883194  y1 = 1440.279977  z1 = 450.246415
12) t = 12.000000  x = 848.528137  y = 1010.736275  z = 1499.693846  x1 = 3587.145303  y1 = 1510.990884  z1 = 487.359725
13) t = 13.000000  x = 919.238816  y = 1029.532631  z = 1622.168333  x1 = 3619.407411  y1 = 1571.891791  z1 = 524.473036
14) t = 14.000000  x = 989.949494  y = 1038.518987  z = 1744.642820  x1 = 3651.669520  y1 = 1622.982698  z1 = 561.586346
15) t = 15.000000  x = 1060.660172  y = 1037.695344  z = 1867.117307  x1 = 3683.931629  y1 = 1664.263605  z1 = 598.699657
16) t = 16.000000  x = 1131.370850  y = 1027.061700  z = 1989.591794  x1 = 3716.193737  y1 = 1695.734512  z1 = 635.812967
17) t = 17.000000  x = 1202.081528  y = 1006.618056  z = 2112.066281  x1 = 3748.455846  y1 = 1717.395419  z1 = 672.926278
18) t = 18.000000  x = 1272.792206  y = 976.364412  z = 2234.540769  x1 = 3780.717954  y1 = 1729.246326  z1 = 710.039588
19) t = 19.000000  x = 1343.502884  y = 936.300769  z = 2357.015256  x1 = 3812.980063  y1 = 1731.287233  z1 = 747.152899
20) t = 20.000000  x = 1414.213562  y = 886.427125  z = 2479.489743  x1 = 3845.242171  y1 = 1723.518140  z1 = 784.266209
21) t = 21.000000  x = 1484.924240  y = 826.743481  z = 2601.964230  x1 = 3877.504280  y1 = 1705.939047  z1 = 821.379519
22) t = 22.000000  x = 1555.634919  y = 757.249837  z = 2724.438717  x1 = 3909.766389  y1 = 1678.549954  z1 = 858.492830
23) t = 23.000000  x = 1626.345597  y = 677.946193  z = 2846.913204  x1 = 3942.028497  y1 = 1641.350861  z1 = 895.606140
24) t = 24.000000  x = 1697.056275  y = 588.832550  z = 2969.387691  x1 = 3974.290606  y1 = 1594.341768  z1 = 932.719451
25) t = 25.000000  x = 1767.766953  y = 489.908906  z = 3091.862178  x1 = 4006.552714  y1 = 1537.522675  z1 = 969.832761
26) t = 26.000000  x = 1838.477631  y = 381.175262  z = 3214.336666  x1 = 4038.814823  y1 = 1470.893582  z1 = 1006.946072
27) t = 27.000000  x = 1909.188309  y = 262.631618  z = 3336.811153  x1 = 4071.076931  y1 = 1394.454489  z1 = 1044.059382
28) t = 28.000000  x = 1979.898987  y = 134.277975  z = 3459.285640  x1 = 4103.339040  y1 = 1308.205396  z1 = 1081.172693
29) t = 29.000000  x = 2050.609665  y = -3.885669  z = 3581.760127  x1 = 4135.601148  y1 = 1212.146303  z1 = 1118.286003
30) t = 30.000000  x = 2121.320344  y = -151.859313  z = 3704.234614  x1 = 4167.863257  y1 = 1106.277210  z1 = 1155.399313
